"condition","architecture","fit_score_0_100","effect_type","penalty_rate","hard_reject","reason","hard_reject_reason","penalty_reason","short_reason","technical_reason"
"data_heavy","B_Managed_Container","70","fit","0.0","False","Fargate handles data workloads; RDS backend suitable","","","Adequate fit","ECS Fargate + RDS is a reasonable data stack; lacks native caching layer for memory-intensive patterns"
"data_heavy","C_Serverless_API","35","penalty","0.2","False","Lambda memory cap (10 GB) and 15-min limit constrains heavy data processing","","Lambda 10 GB memory cap and 15-min execution limit are hard constraints for heavy data workloads; large file processing or ML inference is infeasible at scale","Memory + time limits","Lambda max memory is 10 GB; max execution 15 min; large-scale batch or streaming data processing exceeds these bounds"
"data_heavy","D_High_Scale_Microservices","90","fit","0.0","False","Best match: Aurora + ElastiCache + EKS built for heavy data workloads","","","Best fit for data","Aurora PostgreSQL + ElastiCache Redis + EKS is purpose-designed for high-throughput data-intensive systems"
"data_heavy","E_Event_Driven_Serverless","45","penalty","0.15","False","Lambda limits constrain large data payloads; SQS message size caps","","Lambda memory and duration limits apply; SQS max message payload is 256 KB requiring S3 offload for large data; adds complexity","Payload size limits","SQS message limit 256 KB; Lambda memory limit 10 GB; large data pipelines require S3-intermediate patterns adding latency"
"spiky_unpredictable_traffic","A_Traditional_Web","40","penalty","0.15","False","EC2 auto-scaling is slow; cold capacity wastes budget during quiet periods","","EC2 Auto Scaling group warm-up takes 2–5 minutes; pre-provisioned instances sit idle during quiet periods and burn budget","Slow cold scaling","EC2 ASG launch + warm-up: 2–5 min; idle instances cost full price during off-peak; poor cost/performance ratio for spiky patterns"
"spiky_unpredictable_traffic","B_Managed_Container","72","fit","0.0","False","Fargate scales well; container startup adds latency on spikes","","","Good scaling — some lag","ECS Fargate task startup: ~30–60s; acceptable for most spiky patterns but not zero-latency burst response"
"spiky_unpredictable_traffic","C_Serverless_API","96","fit","0.0","False","Best fit: Lambda auto-scales instantly for unpredictable traffic","","","Best fit — instant scale","Lambda scales from 0 to 1000s of concurrent executions in seconds; pay-per-request billing optimal for spiky patterns"
"spiky_unpredictable_traffic","D_High_Scale_Microservices","78","fit","0.0","False","EKS handles scale but baseline cost remains high during quiet periods","","","Handles scale — high baseline","EKS cluster node baseline cost is always running; HPA scales pods but cluster autoscaler is slower than serverless"
"spiky_unpredictable_traffic","E_Event_Driven_Serverless","88","fit","0.0","False","Excellent for spiky async patterns; SQS buffers burst traffic","","","Excellent — async buffering","SQS absorbs traffic bursts; Lambda workers drain queue at pace; natural back-pressure mechanism for spiky async loads"
"long_running_gt_15min","A_Traditional_Web","85","fit","0.0","False","EC2 supports arbitrary execution duration","","","No time limit","EC2 processes run as long as needed; no platform-enforced execution timeout"
"long_running_gt_15min","B_Managed_Container","88","fit","0.0","False","Fargate tasks support long-running jobs with no time limit","","","No time limit","ECS Fargate tasks have no execution time limit; suitable for batch jobs and long-running processing"
"long_running_gt_15min","C_Serverless_API","0","hard_reject","0.0","True","Lambda hard limit: 15 min max execution. Long-running jobs are technically impossible","AWS Lambda enforces a hard 15-minute maximum execution timeout. Long-running jobs (>15 min) are technically impossible on this architecture — this is a platform constraint not a configuration option.","","Technically impossible","AWS Lambda hard platform limit: 900 seconds (15 min) maximum; cannot be extended; jobs exceeding this will be forcibly terminated"
"long_running_gt_15min","D_High_Scale_Microservices","90","fit","0.0","False","EKS pods support long-running workloads; ideal for batch processing","","","No time limit","Kubernetes pods run indefinitely; EKS is well-suited for long-running batch jobs and ML training workloads"
"long_running_gt_15min","E_Event_Driven_Serverless","0","hard_reject","0.0","True","Lambda-based: 15-min execution limit makes long-running jobs technically impossible","Lambda is the compute layer in this architecture. AWS Lambda enforces a hard 15-minute maximum execution timeout. Long-running jobs are technically incompatible — not a configuration issue.","","Technically impossible","Lambda 15-min platform hard limit applies; EventBridge/SQS can queue work but Lambda workers still cannot exceed 900s per invocation"
"predictable_steady_traffic","A_Traditional_Web","85","fit","0.0","False","Reserved EC2 instances are cost-efficient for predictable steady load","","","Best cost for steady load","EC2 Reserved Instances (1yr/3yr) offer up to 72% discount vs On-Demand; ideal when traffic is consistent and predictable"
"predictable_steady_traffic","B_Managed_Container","82","fit","0.0","False","Good steady-state performance; Fargate Savings Plans reduce cost","","","Good steady fit","Fargate Compute Savings Plans reduce cost for predictable usage; ECS tasks are stable under consistent load"
"predictable_steady_traffic","C_Serverless_API","55","penalty","0.1","False","Serverless cost advantage disappears with constant high request volume","","Lambda per-invocation pricing becomes more expensive than reserved capacity at high constant throughput; cost advantage is only realised with spiky or variable traffic","Loses cost advantage","At constant high RPS Lambda cost can exceed EC2 Reserved pricing; serverless economics depend on variability not volume alone"
"predictable_steady_traffic","D_High_Scale_Microservices","80","fit","0.0","False","EKS handles steady workloads; Reserved nodes reduce cost at scale","","","Good steady fit","EKS Reserved node pricing and stable pod scheduling make it cost-efficient for predictable high-volume steady workloads"
"predictable_steady_traffic","E_Event_Driven_Serverless","50","penalty","0.1","False","Event-driven less efficient than reserved capacity for steady load","","SQS + Lambda pipeline adds unnecessary queuing overhead for predictable steady traffic; reserved compute would be more cost-efficient","Queuing overhead unnecessary","EventBridge + SQS + Lambda adds latency and per-message cost that reserved compute architecture avoids for steady predictable loads"
"high_infrastructure_control_need","A_Traditional_Web","95","fit","0.0","False","Full EC2 control: custom AMIs, instance types, OS-level tuning","","","Maximum control","EC2 provides full OS access: custom AMIs; kernel parameters; network interfaces; storage configuration; instance type selection"
"high_infrastructure_control_need","B_Managed_Container","75","fit","0.0","False","Good control via task definitions; less OS-level access than EC2","","","Good control","ECS task definitions control CPU/memory/networking; no OS-level access to the underlying Fargate host"
"high_infrastructure_control_need","C_Serverless_API","20","penalty","0.2","False","Lambda abstracts all infrastructure; minimal control over runtime environment","","Lambda provides no access to the underlying compute; runtime environment is AWS-managed; users cannot customise OS, kernel, or network stack","Minimal control","Lambda execution environment is fully managed by AWS; no ability to customise OS networking kernel or storage configuration"
"high_infrastructure_control_need","D_High_Scale_Microservices","90","fit","0.0","False","EKS gives full control: node groups, networking, storage, runtime","","","Excellent control","EKS self-managed or managed node groups give full EC2-level control plus Kubernetes networking (CNI) and storage (CSI) plugin flexibility"
"high_infrastructure_control_need","E_Event_Driven_Serverless","25","penalty","0.15","False","Serverless abstracts infrastructure; limited control over execution environment","","All compute is Lambda-based; no OS-level access; SQS and EventBridge configurations are limited to AWS-defined parameters","Limited control","Lambda + managed services abstract all infrastructure; configuration is limited to AWS API parameters with no OS or network-level access"
"high_vendor_lockin_sensitivity","A_Traditional_Web","82","fit","0.0","False","EC2 + generic Linux stack is relatively portable","","","Low lock-in","EC2 + RDS uses standard Linux OS and open-source databases; can be reproduced on GCP or Azure with moderate effort"
"high_vendor_lockin_sensitivity","B_Managed_Container","75","fit","0.0","False","Containers portable across cloud providers with some rework","","","Moderate portability","Docker containers are portable; ALB and RDS are AWS-specific but can be swapped for equivalent managed services on other clouds"
"high_vendor_lockin_sensitivity","C_Serverless_API","25","penalty","0.2","False","API GW + Lambda + DynamoDB is deeply AWS-specific; high migration cost","","API Gateway, Lambda, and DynamoDB are AWS-proprietary services with no direct equivalents; migrating would require significant rearchitecting of application logic","High AWS lock-in","Lambda function handlers, API Gateway configurations, and DynamoDB data models are AWS-specific; no portable abstraction layer exists"
"high_vendor_lockin_sensitivity","D_High_Scale_Microservices","65","fit","0.0","False","EKS is Kubernetes-compatible; Aurora is AWS-specific but data can be migrated","","","Kubernetes portable — DB less so","EKS workloads are portable to GKE or AKS; Aurora PostgreSQL data can be migrated but performance characteristics differ"
"high_vendor_lockin_sensitivity","E_Event_Driven_Serverless","28","penalty","0.18","False","Lambda + EventBridge + SQS deeply tied to AWS; rearchitecting for migration is costly","","Lambda + EventBridge + SQS form a tightly integrated AWS-proprietary event pipeline; migrating requires replacing all three services and rewriting event routing logic","Deep AWS lock-in","EventBridge rules, SQS queue semantics, and Lambda trigger integrations are AWS-specific; no cross-cloud equivalent with equivalent features"
"strict_low_latency","A_Traditional_Web","85","fit","0.0","False","EC2 in same AZ gives predictable low latency","","","Predictable low latency","EC2 instances in same AZ as RDS have consistent sub-10ms network latency; no cold-start variability"
"strict_low_latency","B_Managed_Container","80","fit","0.0","False","Fargate latency good; container startup adds occasional variance","","","Good latency — some variance","ECS Fargate running tasks have good latency; new task startups (~30s) introduce occasional p99 spikes during scaling events"
"strict_low_latency","C_Serverless_API","40","penalty","0.2","False","Lambda cold starts can add 100ms-1s latency; unsuitable for strict p99 requirements","","Lambda cold starts add 100ms–1s latency on first invocation or after idle periods; Provisioned Concurrency mitigates this but increases cost and partially negates serverless economics","Cold start latency risk","Lambda cold start latency: 100ms–1s depending on runtime and package size; Provisioned Concurrency available but adds fixed cost; not suitable for strict sub-100ms p99 SLAs"
"strict_low_latency","D_High_Scale_Microservices","88","fit","0.0","False","EKS + Aurora + ElastiCache optimized for low-latency requirements","","","Optimised for low latency","ElastiCache Redis sub-millisecond reads + Aurora read replicas in same AZ = consistent low-latency data access; EKS pods always warm"
"strict_low_latency","E_Event_Driven_Serverless","30","penalty","0.25","False","Async event processing inherently adds latency; not suitable for strict real-time requirements","","EventBridge + SQS + Lambda introduces queuing latency by design; SQS polling interval alone adds 100ms–20s depending on configuration; fundamentally incompatible with strict synchronous latency SLAs","Async pipeline latency","SQS visibility timeout and polling delay adds inherent latency; EventBridge rule evaluation adds overhead; async architecture is incompatible with strict synchronous p99 latency requirements"
